State,Year,HLp,Dr,NPr,LTFr,CLEARr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,CLEAR,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Alabama,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2007,1.5846290977518074,4.456769337426958,28.028127166485092,20.99633554521145,2.6740616024561747,0.49519659304743985,0.09903931860948796,92.49725174056431,NA,0,NA,NA,NA,NA,15.901060070671377,35.55555555555556,12.5,74.91166077738515,31.25,6.25,0,0,0,0,0,5,1,10916,10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,9814,283,16,28,2,212,27,5,0,1,0
Arizona,2007,1.4364763841259243,2.9538810152448587,14.314183686888613,11.168098085035355,0.20232061748252456,1.3960122606294194,1.0925313344056327,94.58169084159364,NA,0,NA,NA,NA,NA,20.636042402826853,48.63013698630137,58.45070422535211,78.02120141342756,97.1830985915493,76.05633802816901,0,0,0,0,0,138,108,104516,98853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,97438,1415,142,149,83,1104,20,83,55,60,48
Arkansas,2007,0.8960802887938759,4.275583092245065,26.75439719398858,15.310171791392508,7.194244604316547,0.4608412913797076,0.25602293965539313,97.21973317403425,NA,0,NA,NA,NA,NA,15.98086124401914,20.958083832335326,28.57142857142857,57.224880382775126,51.42857142857142,28.57142857142857,0,0,0,0,0,18,10,40176,39059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,38014,1045,35,131,10,598,281,18,0,10,0
California,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2007,1.5434304170120332,2.3151456255180496,2.45805584931546,0.1572012461771515,0,1.186154857518507,1.0575356561008373,98.23807718766233,NA,0,NA,NA,NA,NA,94.18604651162791,66.66666666666666,80.55555555555556,6.395348837209303,76.85185185185185,68.51851851851852,0,0,0,0,0,83,74,71229,69974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,69802,172,108,53,87,11,0,53,30,44,30
Connecticut,2007,1.575555025065648,6.922893291955121,8.307471950346144,1.121986154213416,0.286464550011936,1.241346383385056,0.95488183337312,99.51300629528448,NA,0,NA,NA,NA,NA,83.33333333333334,22.758620689655174,57.57575757575758,13.505747126436782,78.78787878787878,60.60606060606061,0,0,0,0,0,52,40,42095,41890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,41542,348,66,223,38,47,12,52,0,40,0
Delaware,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2007,0.789351560704171,18.983471325286573,28.49038682563571,5.061391600778943,4.449860996057579,0.4814177100997966,0.3166080435791455,96.4239712278354,NA,0,NA,NA,NA,NA,66.63114629319531,4.15809915467215,51.098901098901095,17.765261074745016,60.98901098901099,40.10989010989011,0,0,0,0,0,111,73,239120,230569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4376,224000,6569,182,4194,93,1167,1026,111,0,73,0
