State,Year,Unknw,ParFamContUnr,UnatoCont,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,Birth,TotPas,Tscr,HL,NHL,PerD,PerDHL,PerEI,PerEI6,PerHL3,HLp,LTF,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,EIr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr
Idaho,2016,15,77,60,87,22,21004,136,11,144,141,28,271,299,0,0,22,17,23,476,135,21979,21368,21844,31,268,62.81512605042017,10.367892976588628,70.96774193548387,54.83870967741935,74.19354838709677,1.4191540010986998,152,31.932773109243694,584,2.6735030214246476,14.352941176470587,0.6142226670913145,100.71090047393365,13.687969236403589,1.0071415491668192,6.9584325215162055,21.79088079106391,1.1444790331441128,46.4041095890411,422,72.26027397260275,22,17,61,425,364,99.38577733290869
Illinois,2016,284,160,118,222,47,142645,578,14,490,3149,404,693,978,0,NA,185,141,191,1648,911,149153,146594,148242,304,674,59.34466019417476,31.083844580777097,60.85526315789473,NA,62.82894736842105,2.050700880991892,562,34.101941747572816,4736,3.1947761093347364,10.534662437698234,0.6107822169181981,102.36549165120594,6.597320597401546,1.2479594177088815,3.791098339202115,11.11695740748236,0.7285384708786984,14.63260135135135,4312,91.0472972972973,185,NA,465,4414,3949,99.3892177830818
Indiana,2016,85,226,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,2171,0,0,73,53,85,2869,3401,81108,74838,77707,119,2052,75.6709654932032,5.481345002303086,61.34453781512605,44.537815126050425,71.42857142857143,1.5313935681470139,392,13.663297316138026,NA,NA,NA,4.193174532721803,NA,27.93828097854762,0.939426306510353,5.044590577425457,36.920740731208255,3.937869175235178,NA,NA,NA,73,53,NA,NA,NA,95.8068254672782
Iowa,2016,0,66,5,149,6,36576,0,0,150,1334,168,174,301,0,NA,46,33,41,498,537,39094,38059,38557,73,228,60.44176706827309,24.25249169435216,63.013698630136986,NA,56.16438356164384,1.893300827346526,71,14.257028112449799,1826,4.735845631143501,10.500905250452625,1.3736123190259375,91.6989485334809,7.806623959332936,1.19303887750603,1.8414295718027855,12.915942630391369,3.2678890992556475,9.529025191675794,1807,98.95947426067909,46,NA,174,1657,1483,98.62638768097406
Kansas,2016,5,44,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,0,0,50,38,32,797,421,39323,38105,38902,69,609,85.06900878293601,10.176991150442479,72.46376811594203,55.072463768115945,46.3768115942029,1.7736877281373709,62,7.779171894604768,NA,NA,NA,1.0706202476921902,NA,17.428409850393297,1.2852809624183847,1.5937483933987968,20.48737854094905,1.4652202971569586,NA,NA,NA,50,38,NA,NA,NA,98.92937975230781
Kentucky,2016,NA,209,9,NA,NA,49723,339,11,1315,680,102,NA,1141,2,NA,57,30,54,1428,920,53090,50742,52170,99,1042,79.90196078431373,8.676599474145487,59.59595959595959,NA,54.54545454545454,1.8976423231742379,NA,NA,NA,NA,NA,1.7329063853833113,NA,21.870806977189957,1.130918152194748,NA,27.3720529039678,NA,NA,NA,NA,59,NA,NA,NA,NA,98.26709361461668
Louisiana,2016,248,239,52,317,7,58689,479,51,675,2079,208,0,2161,7,6,66,31,39,2963,779,63246,59504,62467,90,2071,72.93283833952076,4.164738546968995,81.11111111111111,41.11111111111111,43.333333333333336,1.440760721661037,539,18.19102261221735,2962,4.741703619511102,8.468640560331105,1.2316984473326376,95.58734023128423,34.59426577232779,1.1686170297917302,8.628555877503322,47.43304464757392,4.210222997742808,0,3286,110.93855503038488,73,37,266,3141,2875,98.76830155266735
Maine,2016,0,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,0,NA,10,7,10,151,288,12480,12041,12192,13,103,76.82119205298014,11.206896551724139,76.92307692307693,NA,76.92307692307693,1.0662729658792651,19,12.582781456953644,NA,NA,NA,2.307692307692308,NA,9.514435695538058,0.8202099737532809,1.5583989501312336,12.38517060367454,1.3123359580052494,NA,NA,NA,10,NA,NA,NA,NA,97.6923076923077
Maryland,2016,0,66,28,339,9,66940,0,0,172,985,96,738,816,0,0,72,55,50,1015,596,69875,68264,69279,92,724,80.39408866995073,11.27450980392157,78.26086956521739,59.78260869565217,54.347826086956516,1.3279637408161205,94,9.261083743842365,1991,2.87388674778793,7.3477956613016095,0.8529516994633274,89.25671455340412,11.778461005499503,1.0392759710734853,1.3568325177903837,14.65090431443872,1.515610791148833,37.066800602712206,1601,80.41185334003013,72,55,105,1429,1324,99.14704830053668
Massachusetts,2016,18,12,15,87,4,69910,0,0,1318,40,4,1,1168,0,NA,144,121,140,1327,588,71952,70037,71364,175,993,88.0180859080633,14.982876712328766,82.28571428571428,NA,80,2.4522168039908077,45,3.391107761868877,1363,1.9099265736225546,5.9259259259259265,0.8172114743162108,9.29112181693049,16.366795583207217,2.0178241129981505,0.630570035311922,18.59480970797601,1.5974440894568689,0.07336757153338225,1453,106.60308143800441,144,NA,8,135,127,99.18278852568379
