State,Year,HLp,Tscr1r,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReDirDiag,PerOPS,PerNPOS,PerLTF,PerD,PerDHL,PerHL3,PerEI,PerEI6,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,LTF,TDia,TDia3,HL,NHL,HL3,NHL3,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Hawaii,2007,3.6571792017808873,988.551439020512,14.363703821487254,4.823236338580591,0.7420363597816293,8.798431123125033,3.0211480362537766,2.438119467853925,98.63550815558344,NA,97.50627352572145,98.72392901184924,1.2760709881507692,NA,NA,NA,NA,NA,NA,3.3579335793357936,61.254612546125465,41.566265060240966,84.05797101449275,82.6086956521739,66.66666666666666,18651,NA,NA,NA,NA,NA,NA,14,57,46,19128,18867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18596,271,18413,238,91,166,122,69,97,58,64,57,0,46,0
Idaho,2007,1.1106839249861165,986.2873253876714,54.295356486821305,4.998077662437524,14.524328249818447,34.772950574565336,0.6834977999914562,0,93.54993406066419,NA,92.26711425488551,94.73319473319474,5.2668052668052665,NA,NA,NA,NA,NA,NA,0.9205350118017309,64.04405979543665,3.194103194103194,57.692307692307686,61.53846153846154,0,23088,NA,NA,NA,NA,NA,NA,340,16,0,25023,23409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22138,1271,21872,1216,117,814,354,26,788,15,339,16,0,0,0
Illinois,2007,NA,NA,NA,NA,NA,NA,NA,NA,99.22731733884007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176269,174907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2007,1.5048737388132019,980.6532520093485,19.87117368751069,4.149803340363678,1.2768625662657471,14.444507780881263,1.1856580972467652,0,98.11192018164938,NA,96.21377358701609,98.08412192796855,1.9158780720314355,NA,NA,NA,NA,NA,NA,2.0883534136546182,72.69076305220884,10.418310970797158,39.39393939393939,78.78787878787878,0,86018,NA,NA,NA,NA,NA,NA,112,104,0,89403,87715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85972,1743,84370,1648,364,1267,591,132,1135,52,539,94,10,0,0
Iowa,2007,1.5013906323069728,951.0448202023185,28.526422013832484,16.638361761303504,7.1623717049398214,4.725688547589161,0,0,98.61407766990291,NA,93.7864077669903,97.5672877846791,2.432712215320911,NA,NA,NA,NA,NA,NA,5.832614322691976,16.566005176876615,31.770833333333332,22.950819672131146,0,0,38640,NA,NA,NA,NA,NA,NA,291,0,0,41200,40629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39470,1159,37700,940,676,192,58,61,131,14,44,0,0,0,0
Kansas,2007,1.3332698442931288,979.9057187752965,22.451311842293222,18.04675967811057,0.6666349221465644,3.7379172420360933,0.04761678015332604,0.02380839007666302,97.79278230500582,NA,95.82770663562282,97.98338111667235,2.016618883327664,NA,NA,NA,NA,NA,NA,8.038176033934253,16.64899257688229,35.6687898089172,67.85714285714286,3.571428571428571,1.7857142857142856,41158,NA,NA,NA,NA,NA,NA,28,2,1,42950,42002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41059,943,40328,830,758,157,119,56,101,38,81,2,0,1,0
Kentucky,2007,0.9024800846942849,945.9379718495635,36.6892865200715,21.572745101442234,0,15.116541418629271,0.1909092486853295,0.034710772488241726,99.02894266465007,NA,93.6752371786058,99.524805518861,0.475194481138999,NA,NA,NA,NA,NA,NA,5.879848628193,41.20151371807001,5.970149253731343,21.153846153846153,21.153846153846153,3.8461538461538463,54504,NA,NA,NA,NA,NA,NA,0,11,2,58184,57619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55505,2114,54245,259,1243,871,760,52,819,11,749,11,0,2,0
Louisiana,2007,0.7914147329766691,0,47.83310646110988,16.904618696381654,3.039032574630409,27.88945519009782,0.5539903130836683,0.42736395580740133,97.47735793745082,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.5340833884844476,58.305757776307075,2.837684449489217,0,70,54,0,NA,NA,NA,NA,NA,NA,192,35,27,64813,63178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60156,3022,0,0,1068,1762,0,50,1712,0,0,0,35,0,27
Maine,2007,1.3967507167536573,980.1514371829744,25.72961846651474,14.629125928104095,1.911343086083952,9.189149452326692,0.44107917371168126,0.22053958685584063,97.3381037567084,NA,95.40608228980322,97.7049426235656,2.2950573764344107,NA,NA,NA,NA,NA,NA,5.685714285714286,35.714285714285715,15.2,36.84210526315789,31.57894736842105,15.789473684210526,13333,NA,NA,NA,NA,NA,NA,26,6,3,13975,13603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13253,350,13027,306,199,125,91,19,106,7,84,5,1,3,0
Maryland,2007,1.1047282368537341,970.2413831197525,15.217631462660185,12.580092797171895,0,2.63753866548829,0,0,94.9394304892758,NA,92.11416435051655,98.55538634519861,1.4446136548013835,NA,NA,NA,NA,NA,NA,8.266787658802178,17.33212341197822,41.8848167539267,47.5,0,0,70261,NA,NA,NA,NA,NA,NA,0,0,0,76276,72416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71314,1102,69246,1015,911,191,80,80,111,38,42,0,0,0,0
Massachusetts,2007,2.726267328515213,986.8187546616599,18.479462976775288,1.0287801239680048,1.5431701859520075,15.907512666855277,1.9546822355392093,1.1959568941128056,98.7780092474976,NA,97.4759920735735,98.23292544665546,1.7670745533445404,NA,NA,NA,NA,NA,NA,0.5567153792623522,86.0821155184412,17.13823767178658,87.73584905660378,71.69811320754717,43.86792452830189,76737,NA,NA,NA,NA,NA,NA,120,152,93,78724,77762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76325,1437,75381,1356,80,1237,1170,212,1025,186,984,152,0,93,0
Michigan,2007,1.104699093157461,970.3050288540808,15.968672712283594,10.032976092333058,0.9068425391591096,5.028854080791427,0.5523495465787305,0.20610057708161583,98.31494824889162,NA,95.39548869742825,98.64228788934392,1.3577121106560859,NA,NA,NA,NA,NA,NA,6.28291171915333,31.491997934950955,21.9672131147541,43.28358208955223,50,18.65671641791045,117698,NA,NA,NA,NA,NA,NA,110,67,25,123379,121300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119363,1937,116100,1598,1217,610,367,134,476,58,309,67,0,25,0
Minnesota,2007,1.3299091993029442,0,16.203491393805983,13.176801491944113,0.39744412852731664,2.629245773334556,0.3821578158916506,0.32101256534898653,88.874699417175,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.132075471698114,16.22641509433962,50.58139534883721,34.48275862068966,28.735632183908045,24.137931034482758,0,NA,NA,NA,NA,NA,NA,26,25,21,73607,65418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64358,1060,0,0,862,172,65,87,85,30,35,25,0,21,0
