State,Year,HLp,Tscr1r,NPr,LTFdiar,Dr,TDia3r,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReferStDia,PerOPS,PerNPOS,PerLTFscr,PerD,PerDHL,PerHL3,PerTDia3,PerLTFdia,PerEI,PerEI6,PerLTFei,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInPaOut,ReInReOut,ReInNoOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,TotNotPasNoscr,NoscrStDia,LTFscr,TDia,TDia3,HL,NHL,HL3,NHL3,LTFdia,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,LTFei
Virgin Islands,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2010,1.4790549930514196,970.8953742306928,11.157434981139568,6.5316656740123085,3.504069882866786,1.717292038912051,0.7643438554695255,0.4367679174111574,99.54348728286003,NA,96.6463113377206,99.2383036152462,0.7616963847538034,NA,NA,NA,NA,NA,NA,NA,31.405693950177938,42.20963172804532,22.14765100671141,15.391459074733097,58.54092526690391,51.67785234899329,29.53020134228188,441.61073825503354,97808,NA,NA,NA,NA,NA,NA,77,44,101202,100740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99616,1124,97063,745,NA,NA,NA,353,173,149,204,33,140,658,48,29,30,14,59
Washington,2010,1.4138833422217811,939.3518461099604,14.014808567636955,8.880179587989433,4.365674881246202,2.8897791117339913,0,0,93.20194197202636,NA,87.54941625245635,98.73512985384016,1.2648701461598384,NA,NA,NA,NA,NA,NA,NA,31.150442477876105,32.38636363636363,70.17543859649122,20.61946902654867,63.36283185840708,0,0,628.0701754385965,75739,NA,NA,NA,NA,NA,NA,0,0,86510,80629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79499,1130,74781,958,NA,NA,NA,352,233,114,238,80,153,716,0,0,0,0,114
West Virginia,2010,0.2445226917057903,924.83372456964,28.511345852895147,13.644366197183098,0.2445226917057903,0.19561815336463223,0.1467136150234742,0.04890453834115806,99.02179176755448,NA,91.57869249394673,99.9788482893554,0.021151710644598382,NA,NA,NA,NA,NA,NA,NA,0.8576329331046313,100,80,0.6861063464837049,47.85591766723842,60,20,5580,18911,NA,NA,NA,NA,NA,NA,3,1,20650,20448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19865,583,18907,4,NA,NA,NA,5,4,5,0,4,0,279,3,0,1,0,2
Wisconsin,2010,1.3777441332323996,982.2558667676003,11.33989401968206,2.800908402725208,7.4337623012869045,5.495836487509463,0.8024224072672218,0.6207418622255867,98.15139536957233,NA,96.40978393318869,98.9934954838312,1.006504516168809,NA,NA,NA,NA,NA,NA,NA,65.55407209612817,18.533604887983707,52.74725274725275,48.46461949265687,24.699599465954606,58.24175824175825,45.05494505494506,203.2967032967033,64878,NA,NA,NA,NA,NA,NA,53,41,67294,66050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65301,749,64225,653,NA,NA,NA,491,363,91,400,48,315,185,53,0,41,0,22
Wyoming,2010,2.809404110601804,986.692296318202,5.323081472719208,0.7393168712110011,3.992311104539406,2.9572674848440044,2.365813987875203,1.9222238651486028,97.71709290564947,NA,96.41670278861436,99.5054698036865,0.49453019631350215,NA,NA,NA,NA,NA,NA,NA,75,70.37037037037037,78.94736842105263,55.55555555555556,13.88888888888889,84.21052631578947,68.42105263157895,26.31578947368421,6673,NA,NA,NA,NA,NA,NA,16,13,6921,6763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6727,36,6640,33,NA,NA,NA,27,20,19,8,15,5,5,16,0,13,0,0
US,2010,1.3001642855228794,928.885187712185,16.757329463588185,6.048366317551341,8.08286833865492,5.801525773450883,0.8631689172615231,0.5542317435909063,97.86430995041536,NA,90.90470791861503,98.53089334732852,1.4691066526714762,NA,NA,NA,NA,NA,NA,NA,48.23482378990098,16.085431941345234,55.43004359889021,34.620825389015316,36.093855710683314,66.3892191835117,42.62782401902497,465.20015854141894,3605048,NA,NA,NA,NA,NA,NA,3350,2151,3965744,3881048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3816012,65036,3552086,52962,NA,NA,NA,31370,22516,5046,26324,2797,19719,23474,3108,242,2074,77,1263
State/Territory average,2010,1.6548183119325102,880.2174843420395,29.363237590878075,10.717146366119234,10.84435091511712,7.918821243910802,1.162189495639565,0.7968507360656029,96.91920565117012,NA,85.15610836615409,95.32758953980971,4.67241046019029,NA,NA,NA,NA,NA,NA,NA,45.30327653876528,31.91983753144589,51.44458446906232,31.743709717336724,40.93039637025481,63.09515441469946,40.517283102717606,937.5393291850205,66760.14814814815,NA,NA,NA,NA,NA,NA,65.68627450980392,42.1764705882353,73439.70370370371,71871.25925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70666.88888888889,1204.3703703703704,65779.37037037036,980.7777777777778,NA,NA,NA,603.2692307692307,433,97.03846153846153,506.2307692307692,53.78846153846154,379.21153846153845,451.4230769230769,60.94117647058823,4.745098039215686,40.666666666666664,1.5098039215686274,24.764705882352942
State/Territory median,2010,1.4952182162750418,976.804631970008,16.694580025688253,6.980562662861727,5.393669982072453,3.22321213861368,0.9881422924901185,0.5562138763270538,98.31147960876456,NA,95.98474865663493,98.5413136885164,1.458686311483612,NA,NA,NA,NA,NA,NA,NA,42.48448550995882,26.996197718631176,53.52112676056338,26.636543748989162,39.491529802308236,66.14834458373514,40.5,532.4175824175824,46855,NA,NA,NA,NA,NA,NA,43,26,52688,52097.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50399,865.5,45273.5,679.5,NA,NA,NA,370,227.5,64,227,33,145,332.5,43,0,25,0,14
State/Territory SD,2010,1.3454312021289416,285.0952694528589,42.697001905136815,21.09374940441993,12.061797194145369,10.800746914176752,1.4085764815574917,1.355709657656179,6.566538737244537,NA,28.299762957876943,14.445708340847014,14.445708340847014,NA,NA,NA,NA,NA,NA,NA,26.40428356222005,24.86606376704357,23.398493782128092,23.918449022572364,25.31170714229129,23.951389182707974,22.6249043912295,1503.3944194272715,91376.57590689314,NA,NA,NA,NA,NA,NA,117.58120431362802,85.39173399863782,91811.84228825485,90756.15620060645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89966.58120084676,1184.184223561493,90686.48899436116,1113.4723805009107,NA,NA,NA,700.779625100687,572.8191720967172,137.1609847828687,650.1551734954711,90.15397211317317,548.8554699764564,655.7987300681318,115.7869443011095,16.651538231953108,85.04508608183465,5.70393740856124,37.06296708861508
Alabama,2011,NA,1000,53.270108258029886,NA,NA,NA,0.3041961170260356,0.1610450031314306,96.53319975126097,NA,96.53319975126097,94.67298917419701,5.327010825802988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55885,NA,NA,NA,NA,NA,NA,17,9,57892,55885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52908,2977,52908,2977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,9,0,59
Alaska,2011,1.6423357664233578,964.5985401459855,13.686131386861314,6.1131386861313866,4.744525547445255,2.737226277372263,1.0036496350364963,0.7299270072992701,96.69166299073666,NA,93.26863696515218,98.74195989405979,1.2580401059402195,NA,NA,NA,NA,NA,NA,NA,34.66666666666667,34.61538461538461,83.33333333333334,20,44.666666666666664,61.111111111111114,44.44444444444444,372.22222222222223,10572,NA,NA,NA,NA,NA,NA,11,8,11335,10960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10810,150,10439,133,NA,NA,NA,52,30,18,34,15,15,67,11,0,8,0,5
American Samoa,2011,0.8445945945945946,799.831081081081,104.72972972972973,88.68243243243244,7.601351351351352,1.6891891891891893,0.8445945945945946,0.8445945945945946,94.49321628092578,NA,75.57861133280129,89.22914466737065,10.770855332629356,NA,NA,NA,NA,NA,NA,NA,7.258064516129033,11.11111111111111,100,1.6129032258064515,84.67741935483872,100,100,10500,947,NA,NA,NA,NA,NA,NA,1,1,1253,1184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,124,845,102,NA,NA,NA,9,2,1,8,1,1,105,1,0,1,0,0
Arizona,2011,1.7720651647429915,982.1021418360958,8.954835965834583,4.229328859853273,3.804033220314955,1.9374579134523373,0.7324536014271031,0.5079920138929909,97.66811279826464,NA,95.9200627682651,99.25780686137709,0.742193138622913,NA,NA,NA,NA,NA,NA,NA,42.480211081794195,46.58385093167702,56.00000000000001,21.63588390501319,47.229551451187334,41.333333333333336,28.666666666666668,238.66666666666669,83132,NA,NA,NA,NA,NA,NA,62,43,86668,84647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83889,758,82515,617,NA,NA,NA,322,164,150,172,84,80,358,61,1,43,0,6
Arkansas,2011,1.05622359441014,963.4654966959159,17.68497454230311,11.185137038240711,1.977033907485646,0.9749756256093598,0.4604051565377532,0.29790921893619327,97.5303098338572,NA,93.9670884069838,98.34715390021083,1.6528460997891778,NA,NA,NA,NA,NA,NA,NA,11.179173047473201,53.42465753424658,28.205128205128204,5.51301684532925,63.24655436447168,43.58974358974359,28.205128205128204,1058.974358974359,35575,NA,NA,NA,NA,NA,NA,17,11,37859,36924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36271,653,34987,588,NA,NA,NA,73,36,39,34,11,25,413,13,4,9,2,17
California,2011,1.8158294014059475,993.3703946686924,5.593729498290805,0.4691908184840871,4.484733018237508,2.536880226349025,1.572093911284344,1.1739926107523913,97.87700590040873,NA,97.22811998027896,99.56816262602925,0.4318373739707569,NA,NA,NA,NA,NA,NA,NA,80.17429193899783,40.48913043478261,68.5682326621924,45.3522149600581,8.387799564270153,86.57718120805369,64.65324384787472,25.838926174496645,489073,NA,NA,NA,NA,NA,NA,774,578,503016,492337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489583,2754,486961,2112,NA,NA,NA,2208,1249,894,1314,613,636,231,774,0,578,0,17
Colorado,2011,1.7481971716667188,982.14341460369,11.550588455655106,7.476664689538913,2.5598601442262665,1.5921081384821902,1.2018855555208692,0.8897074891518122,97.78978538938242,NA,96.04359373569008,98.88751152220209,1.1124884777979085,NA,NA,NA,NA,NA,NA,NA,22.162162162162165,68.29268292682927,63.39285714285714,13.783783783783784,64.72972972972974,68.75,50.89285714285714,427.67857142857144,62922,NA,NA,NA,NA,NA,NA,77,57,65514,64066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63326,740,62222,700,NA,NA,NA,164,102,112,52,71,31,479,61,16,48,9,35
Commonwealth of the Northern Mariana Islands,2011,0.9871668311944718,975.3208292201382,19.743336623889437,12.833168805528134,6.910167818361304,3.948667324777887,0.9871668311944718,0.9871668311944718,98.44509232264335,NA,96.01554907677357,98.07692307692307,1.9230769230769231,NA,NA,NA,NA,NA,NA,NA,35,14.285714285714285,0,20,65,100,100,1300,988,NA,NA,NA,NA,NA,NA,1,1,1029,1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,20,969,19,NA,NA,NA,7,4,1,6,0,4,13,1,0,1,0,0
Connecticut,2011,2.0220294790613527,987.0962592454638,18.4377161709147,5.746820624700686,11.866120363965306,10.855105624434628,1.5963390624168572,1.277071249933486,99.37076988155668,NA,98.0885152284264,98.19681410204578,1.803185897954233,NA,NA,NA,NA,NA,NA,NA,64.35786435786436,17.040358744394617,76.31578947368422,58.87445887445888,31.16883116883117,78.94736842105263,63.1578947368421,284.2105263157895,37101,NA,NA,NA,NA,NA,NA,60,48,37824,37586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36893,693,36432,669,NA,NA,NA,446,408,76,370,58,350,216,60,0,48,0,10
Delaware,2011,0.8638562543192814,984.7961299239807,83.44851416724256,14.340013821700069,67.72633033863166,55.02764340013822,0.5183137525915688,0.2591568762957844,98.83879781420765,NA,97.3360655737705,91.86842105263158,8.131578947368421,NA,NA,NA,NA,NA,NA,NA,81.15942028985508,1.2755102040816326,40,65.94202898550725,17.184265010351968,60,30,1660.0000000000002,11400,NA,NA,NA,NA,NA,NA,6,3,11712,11576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10610,966,10473,927,NA,NA,NA,784,637,10,774,4,633,166,6,0,3,0,0
District of Columbia,2011,NA,0,34.720025308446694,NA,NA,NA,NA,NA,94.44983939642937,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13387,12644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12205,439,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2011,0.8226926877710871,975.2705393261709,7.243590055641286,4.089123418507178,2.7309502830744363,1.7962935017013673,0.5549524639402599,0.3943083296417636,96.82365362317475,NA,94.429256888604,99.38904778305206,0.6109522169479343,NA,NA,NA,NA,NA,NA,NA,37.70161290322581,30.124777183600713,56.80473372781065,24.798387096774192,56.451612903225815,67.45562130177515,47.928994082840234,497.0414201183432,200343,NA,NA,NA,NA,NA,NA,114,81,212162,205423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203935,1488,199119,1224,NA,NA,NA,561,369,169,392,96,273,840,114,0,81,0,34
Georgia,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,2011,0,936.2989323843416,11.743772241992882,4.6263345195729535,1.0676156583629894,0.35587188612099646,0,0,99.2231638418079,NA,92.90254237288136,99.2018244013683,0.798175598631699,NA,NA,NA,NA,NA,NA,NA,9.090909090909092,0,NA,3.0303030303030303,39.39393939393939,NA,NA,Inf,2631,NA,NA,NA,NA,NA,NA,0,0,2832,2810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2777,33,2610,21,NA,NA,NA,3,1,0,3,0,1,13,0,0,0,0,0
Hawaii,2011,2.7908973808501503,985.4014598540147,10.680549592099613,2.6298840704164874,6.333190210390725,3.3812795191069127,2.2541863460712754,1.4491197939029627,98.47780126849895,NA,97.04016913319239,99.08496732026144,0.9150326797385622,NA,NA,NA,NA,NA,NA,NA,59.2964824120603,44.06779661016949,42.30769230769231,31.65829145728643,24.623115577889447,80.76923076923077,51.92307692307693,94.23076923076923,18360,NA,NA,NA,NA,NA,NA,42,27,18920,18632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18433,199,18192,168,NA,NA,NA,118,63,52,66,22,41,49,42,0,27,0,6
Idaho,2011,2.5842313130820616,986.7862889463163,47.9301769954654,14.383929006777512,32.61982544248866,28.962894339070655,2.3891949875664342,2.0478814179140867,99.34605696570432,NA,98.0333268746367,95.30091906314854,4.699080936851468,NA,NA,NA,NA,NA,NA,NA,68.05696846388607,7.922272047832586,69.81132075471697,60.42726347914547,30.010172939979658,92.45283018867924,79.24528301886792,556.6037735849056,20238,NA,NA,NA,NA,NA,NA,49,42,20644,20509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19526,983,19287,951,NA,NA,NA,669,594,53,616,37,557,295,49,0,42,0,0
Illinois,2011,1.189440834910728,970.2831636568271,17.355604440579118,11.101447792500128,5.8257021537831895,4.367677904537781,0.8888832045838236,0.7162224382258147,99.3904725585534,NA,96.43690215146026,98.57706832576501,1.4229316742349847,NA,NA,NA,NA,NA,NA,NA,33.56669123065586,20.417124039517017,56.98924731182796,25.165806927044954,63.96462785556374,74.73118279569893,60.215053763440864,933.3333333333334,151729,NA,NA,NA,NA,NA,NA,139,112,157335,156376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153662,2714,149570,2159,NA,NA,NA,911,683,186,725,106,577,1736,139,0,112,0,46
Indiana,2011,1.94295012689893,881.4800422591652,30.38288260938202,2.9994292584002236,24.566175666978346,18.21515743967747,1.1536266378462399,0.40073346367290436,97.23580115716142,NA,85.71141811311843,96.70197963878825,3.2980203612117536,NA,NA,NA,NA,NA,NA,NA,80.85531574740207,7.909045971329709,58.75,59.95203836930456,9.872102318145485,59.375,20.625,154.375,72589,NA,NA,NA,NA,NA,NA,95,33,84690,82349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79847,2502,70195,2394,NA,NA,NA,2023,1500,160,1863,94,1406,247,95,0,33,0,48
Iowa,2011,1.1472173309855398,986.2333920281735,15.047222666880103,5.549330345232378,5.576009818045995,3.681767248279174,0.9337815484766021,0.42687156501787527,98.51240538267452,NA,97.15622371740959,98.59600714169777,1.4039928583022236,NA,NA,NA,NA,NA,NA,NA,37.05673758865248,20.574162679425836,74.4186046511628,24.46808510638298,36.87943262411347,81.3953488372093,37.2093023255814,483.7209302325581,36966,NA,NA,NA,NA,NA,NA,35,16,38048,37482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36918,564,36447,519,NA,NA,NA,209,138,43,166,32,106,208,35,0,16,0,6
Kansas,2011,1.603688483512078,974.0152350405934,9.020747719755436,1.9544953392803448,5.237045203969129,3.031973539140022,1.2278239951889345,1.027362934749925,98.65519628201325,NA,96.09166419460101,99.33883872295542,0.6611612770445834,NA,NA,NA,NA,NA,NA,NA,58.05555555555556,30.62200956937799,50,33.611111111111114,21.666666666666668,76.5625,64.0625,121.875,38871,NA,NA,NA,NA,NA,NA,49,41,40452,39908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39548,360,38614,257,NA,NA,NA,209,121,64,145,32,89,78,49,0,41,0,6
Kentucky,2011,1.3903502179467908,967.5898091086727,47.948294002705545,7.5529836164136475,39.77528934315346,34.852698030963474,0.676386592514655,0.3194047797985871,99.71709601873536,NA,96.48524590163935,95.37466746927124,4.625332530728752,NA,NA,NA,NA,NA,NA,NA,82.95454545454545,3.4955125177137463,50,72.68808777429467,15.752351097178682,48.64864864864865,22.972972972972975,543.2432432432432,51499,NA,NA,NA,NA,NA,NA,36,17,53375,53224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50672,2552,49117,2382,NA,NA,NA,2117,1855,74,2043,37,1818,402,33,3,14,3,38
Louisiana,2011,1.0668266906702673,0,51.14100448400593,16.88586621326532,34.25513827074061,0,0.7667816839192546,0.5000750112516877,98.48151552958171,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.98174706649283,3.1143552311435525,0,0,33.01825293350717,71.875,46.875,1582.8125,0,NA,NA,NA,NA,NA,NA,46,30,60916,59991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56923,3068,0,0,NA,NA,NA,2055,0,64,1991,0,0,1013,31,15,18,12,13
Maine,2011,1.791530944625407,980.4560260586319,23.127035830618894,5.537459283387622,16.368078175895764,12.377850162866448,1.0586319218241043,0.7328990228013029,97.76291696520978,NA,95.85224106360958,97.82392026578073,2.1760797342192695,NA,NA,NA,NA,NA,NA,NA,70.77464788732394,10.945273631840797,50,53.52112676056338,23.943661971830984,59.09090909090909,40.909090909090914,309.09090909090907,12040,NA,NA,NA,NA,NA,NA,13,9,12561,12280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11996,284,11778,262,NA,NA,NA,201,152,22,179,11,141,68,7,6,5,4,9
Marshall Islands,2011,0,952.431289640592,112.05073995771671,109.93657505285412,0,0,NA,NA,96.82702149437053,NA,92.22108495394063,89.56714761376249,10.432852386237514,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,98.11320754716981,NA,NA,Inf,901,NA,NA,NA,NA,NA,NA,NA,NA,977,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,106,807,94,NA,NA,NA,0,0,0,0,0,0,104,NA,NA,NA,NA,NA
Maryland,2011,1.3273199554705564,980.6610909713698,15.157137556018611,2.4833728199126535,6.608055262181372,4.424399851568522,0,0,99.25627912906745,NA,97.33677097647009,98.72072884982026,1.2792711501797382,NA,NA,NA,NA,NA,NA,NA,43.5969868173258,20.086393088552914,56.98924731182796,29.19020715630885,16.38418079096045,0,0,187.09677419354838,68711,NA,NA,NA,NA,NA,NA,0,0,70591,70066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69004,1062,67832,879,NA,NA,NA,463,310,93,370,53,257,174,0,0,0,0,93
Massachusetts,2011,2.454946923773212,987.3138217626245,18.706969854897547,0.5623062786296185,16.22459335655704,13.851935156485723,1.8926406451435938,1.2754752173793784,99.18517813175902,NA,97.92689728347366,98.21778327244441,1.7822167275555987,NA,NA,NA,NA,NA,NA,NA,86.73020527859238,15.131022823330515,68.71508379888269,74.04692082111437,3.005865102639296,77.09497206703911,51.955307262569825,22.905027932960895,71989,NA,NA,NA,NA,NA,NA,138,93,73513,72914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71550,1364,70706,1283,NA,NA,NA,1183,1010,179,1004,123,887,41,138,0,93,0,11
Michigan,2011,1.48997854789922,960.2552710235076,13.975280717343889,7.378086544416619,5.286731112726751,2.809417382484674,0.5654737862509088,0.23337013400831158,99.0399231938555,NA,95.10360828866308,98.91010721329557,1.0898927867044297,NA,NA,NA,NA,NA,NA,NA,37.82915863840719,28.183361629881155,51.80722891566265,20.10276172125883,52.79383429672448,37.95180722891566,15.66265060240964,495.1807228915663,106983,NA,NA,NA,NA,NA,NA,63,26,112491,111411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109854,1557,105817,1166,NA,NA,NA,589,313,166,423,86,227,822,63,0,26,0,98
Micronesia,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2011,2.13974654551482,975.4833265524464,10.457634525262572,4.324699003963052,5.319229088498109,3.4808552958727,1.280834199779998,0.7986377951569399,97.41357798165137,NA,95.02532110091742,99.00210084033614,0.9978991596638654,NA,NA,NA,NA,NA,NA,NA,50.86455331412104,40.226628895184135,66.19718309859155,33.28530259365994,41.35446685878962,59.859154929577464,37.32394366197183,202.11267605633805,64736,NA,NA,NA,NA,NA,NA,85,53,68125,66363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65669,694,64090,646,NA,NA,NA,353,231,142,211,94,137,287,84,1,53,0,26
Mississippi,2011,1.737974748249246,960.1799315033481,16.996370699790422,1.5590655829882942,13.69933036855288,9.84000408935235,1.3034810611869345,0.894545826304759,98.24482109227873,NA,94.33270558694288,98.85008517887563,1.1499148211243613,NA,NA,NA,NA,NA,NA,NA,80.6015037593985,12.686567164179104,47.05882352941176,57.89473684210527,9.172932330827068,75,51.470588235294116,89.70588235294117,37568,NA,NA,NA,NA,NA,NA,51,35,39825,39126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38461,665,37136,432,NA,NA,NA,536,385,68,468,32,353,61,51,0,35,0,11
Missouri,2011,1.601715556496876,982.3678915598856,17.790956263899183,6.208302446256487,11.212008895478132,8.101239013025522,0.9663242613576194,0.516255427300646,98.2136821030188,NA,96.48196780987544,98.32237374009594,1.6776262599040588,NA,NA,NA,NA,NA,NA,NA,63.020833333333336,14.285714285714285,58.67768595041323,45.535714285714285,34.89583333333333,60.33057851239669,32.231404958677686,387.603305785124,74212,NA,NA,NA,NA,NA,NA,73,39,76918,75544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74200,1344,72967,1245,NA,NA,NA,847,612,121,726,71,541,469,73,0,39,0,27
Montana,2011,2.4242424242424243,977.922077922078,20.173160173160174,16.363636363636363,3.54978354978355,2.3376623376623376,0.9523809523809523,0.7792207792207793,96.11383872846801,NA,93.99184488641092,98.25586542718017,1.7441345728198319,NA,NA,NA,NA,NA,NA,NA,17.59656652360515,68.29268292682927,60.71428571428571,11.587982832618025,81.11587982832617,39.285714285714285,32.142857142857146,675,11295,NA,NA,NA,NA,NA,NA,11,9,12017,11550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11317,233,11098,197,NA,NA,NA,41,27,28,13,17,10,189,5,6,3,6,17
Nebraska,2011,2.2380860505498745,970.4032413660042,6.752845842176345,1.3505691684352692,4.051707505305807,1.466332240015435,1.6592706926490448,0.9646922631680493,99.3064071122011,NA,96.36725935009197,99.38364879910927,0.6163512008907269,NA,NA,NA,NA,NA,NA,NA,60,55.23809523809524,29.310344827586203,21.714285714285715,20,74.13793103448276,43.103448275862064,60.3448275862069,25148,NA,NA,NA,NA,NA,NA,43,25,26096,25915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25740,175,24993,155,NA,NA,NA,105,38,58,47,17,21,35,43,0,25,0,4
Nevada,2011,0.9634755189629499,17.050597062859477,17.45934425272255,12.817144024991972,3.8539020758517997,2.364894455636332,0.8466906075735015,0.5839245569472424,97.81807796658575,NA,1.6678566328716264,13.698630136986301,86.3013698630137,NA,NA,NA,NA,NA,NA,NA,22.073578595317723,25,42.42424242424242,13.54515050167224,73.41137123745818,87.87878787878788,60.60606060606061,1330.3030303030303,584,NA,NA,NA,NA,NA,NA,29,20,35015,34251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33653,598,80,504,NA,NA,NA,132,81,33,99,14,67,439,29,0,20,0,3
New Hampshire,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,2011,1.1558089193186605,975.4047779965326,9.81458082336693,4.231436043607299,4.3587709245491855,2.9482922433467524,0.85216420322647,0.3526196703006083,99.2842486069105,NA,96.8423304709761,99.30107850816412,0.6989214918358739,NA,NA,NA,NA,NA,NA,NA,44.411177644710584,26.516853932584272,52.54237288135594,30.039920159680637,43.11377245508982,73.72881355932203,30.508474576271187,366.10169491525426,99582,NA,NA,NA,NA,NA,NA,87,36,102829,102093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101091,1002,98886,696,NA,NA,NA,445,301,118,327,62,239,432,87,0,36,0,24
New Mexico,2011,3.6543983294179068,954.1242495432002,57.75254502740799,4.111198120595145,50.24797702949622,41.960323675280605,2.7407987470634296,1.1746280344557558,58.014689179980316,NA,55.35322177633073,96.47082962861637,3.529170371383626,NA,NA,NA,NA,NA,NA,NA,87.00564971751412,7.2727272727272725,35.714285714285715,72.65536723163842,7.118644067796611,75,32.142857142857146,112.5,14621,NA,NA,NA,NA,NA,NA,42,18,26414,15324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14439,885,14105,516,NA,NA,NA,770,643,56,714,20,623,63,42,0,18,0,0
