State,Year,HLp,Tscr1r,NPr,LTFdiar,Dr,TDia3r,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReferStDia,PerOPS,PerNPOS,PerLTFscr,PerD,PerDHL,PerHL3,PerTDia3,PerLTFdia,PerEI,PerEI6,PerLTFei,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInPaOut,ReInReOut,ReInNoOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,TotNotPasNoscr,NoscrStDia,LTFscr,TDia,TDia3,HL,NHL,HL3,NHL3,LTFdia,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,LTFei
District of Columbia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2007,0.789351560704171,875.373532434976,28.49038682563571,5.061391600778943,18.97913422879919,16.242426345258902,0.4814177100997966,0.3166080435791455,96.4239712278354,NA,84.40699230511876,98.19059226889424,1.8094077311057604,NA,NA,NA,NA,NA,NA,NA,66.61592327599331,4.159049360146253,51.098901098901095,57.01019942152534,17.765261074745016,60.98901098901099,40.10989010989011,641.2087912087912,201834,NA,NA,NA,NA,NA,NA,111,73,239120,230569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224000,6569,198182,3652,NA,NA,NA,4376,3745,182,4194,93,3652,1167,111,0,73,0,48
Georgia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,2007,2.0134228187919465,951.6778523489933,30.87248322147651,26.510067114093957,3.6912751677852347,3.3557046979865772,2.0134228187919465,2.0134228187919465,85.31348411107929,NA,81.19095333524191,96.89703808180536,3.1029619181946404,NA,NA,NA,NA,NA,NA,NA,11.956521739130435,54.54545454545454,100,10.869565217391305,85.86956521739131,100,100,1316.6666666666665,2836,NA,NA,NA,NA,NA,NA,6,6,3493,2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2888,92,2748,88,NA,NA,NA,11,10,6,5,6,4,79,6,0,6,0,0
Hawaii,2007,3.6571792017808873,988.551439020512,14.363703821487254,4.823236338580591,8.798431123125033,6.466316849525627,3.0211480362537766,2.438119467853925,98.63550815558344,NA,97.50627352572145,98.72392901184924,1.2760709881507692,NA,NA,NA,NA,NA,NA,NA,61.254612546125465,41.566265060240966,84.05797101449275,45.018450184501845,33.579335793357934,82.6086956521739,66.66666666666666,131.8840579710145,18651,NA,NA,NA,NA,NA,NA,57,46,19128,18867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18596,271,18413,238,NA,NA,NA,166,122,69,97,58,64,91,57,0,46,0,2
Idaho,2007,1.1106839249861165,986.2873253876714,54.295356486821305,4.998077662437524,34.772950574565336,15.12238882481097,0.6834977999914562,0,93.54993406066419,NA,92.26711425488551,94.73319473319474,5.2668052668052665,NA,NA,NA,NA,NA,NA,NA,64.04405979543665,3.194103194103194,57.692307692307686,27.852084972462627,9.205350118017309,61.53846153846154,0,450,23088,NA,NA,NA,NA,NA,NA,16,0,25023,23409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22138,1271,21872,1216,NA,NA,NA,814,354,26,788,15,339,117,16,0,0,0,10
Illinois,2007,NA,NA,NA,NA,NA,NA,NA,NA,99.22731733884007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176269,174907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2007,1.5048737388132019,980.6532520093485,19.87117368751069,4.149803340363678,14.444507780881263,6.73773014877729,1.1856580972467652,0,98.11192018164938,NA,96.21377358701609,98.08412192796855,1.9158780720314355,NA,NA,NA,NA,NA,NA,NA,72.69076305220884,10.418310970797158,39.39393939393939,33.90705679862307,20.883534136546185,78.78787878787878,0,275.75757575757575,86018,NA,NA,NA,NA,NA,NA,104,0,89403,87715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85972,1743,84370,1648,NA,NA,NA,1267,591,132,1135,52,539,364,94,10,0,0,28
Iowa,2007,1.5013906323069728,951.0448202023185,28.526422013832484,16.638361761303504,4.725688547589161,1.4275517487508922,0,0,98.61407766990291,NA,93.7864077669903,97.5672877846791,2.432712215320911,NA,NA,NA,NA,NA,NA,NA,16.566005176876615,31.770833333333332,22.950819672131146,5.0043140638481445,58.326143226919754,0,0,1108.1967213114756,38640,NA,NA,NA,NA,NA,NA,0,0,41200,40629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39470,1159,37700,940,NA,NA,NA,192,58,61,131,14,44,676,0,0,0,0,58
Kansas,2007,1.3332698442931288,979.9057187752965,22.451311842293222,18.04675967811057,3.7379172420360933,2.833198419122899,0.04761678015332604,0.02380839007666302,97.79278230500582,NA,95.82770663562282,97.98338111667235,2.016618883327664,NA,NA,NA,NA,NA,NA,NA,16.64899257688229,35.6687898089172,67.85714285714286,12.61930010604454,80.38176033934252,3.571428571428571,1.7857142857142856,1353.5714285714287,41158,NA,NA,NA,NA,NA,NA,2,1,42950,42002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41059,943,40328,830,NA,NA,NA,157,119,56,101,38,81,758,2,0,1,0,53
Kentucky,2007,0.9024800846942849,945.9379718495635,36.6892865200715,21.572745101442234,15.116541418629271,13.190093545531855,0.1909092486853295,0.034710772488241726,99.02894266465007,NA,93.6752371786058,99.524805518861,0.475194481138999,NA,NA,NA,NA,NA,NA,NA,41.20151371807001,5.970149253731343,21.153846153846153,35.950804162724694,58.798486281929996,21.153846153846153,3.8461538461538463,2390.3846153846152,54504,NA,NA,NA,NA,NA,NA,11,2,58184,57619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55505,2114,54245,259,NA,NA,NA,871,760,52,819,11,749,1243,11,0,2,0,41
Louisiana,2007,0.7914147329766691,0,47.83310646110988,16.904618696381654,27.88945519009782,0,0.5539903130836683,0.42736395580740133,97.47735793745082,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.305757776307075,2.837684449489217,0,0,35.34083388484447,70,54,2136,0,NA,NA,NA,NA,NA,NA,35,27,64813,63178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60156,3022,0,0,NA,NA,NA,1762,0,50,1712,0,0,1068,0,35,0,27,13
Maine,2007,1.3967507167536573,980.1514371829744,25.72961846651474,14.629125928104095,9.189149452326692,6.689700801293832,0.44107917371168126,0.22053958685584063,97.3381037567084,NA,95.40608228980322,97.7049426235656,2.2950573764344107,NA,NA,NA,NA,NA,NA,NA,35.714285714285715,15.2,36.84210526315789,26,56.85714285714286,31.57894736842105,15.789473684210526,1047.3684210526314,13333,NA,NA,NA,NA,NA,NA,6,3,13975,13603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13253,350,13027,306,NA,NA,NA,125,91,19,106,7,84,199,5,1,3,0,13
Marshall Islands,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2007,1.1047282368537341,970.2413831197525,15.217631462660185,12.580092797171895,2.63753866548829,1.1047282368537341,0,0,94.9394304892758,NA,92.11416435051655,98.55538634519861,1.4446136548013835,NA,NA,NA,NA,NA,NA,NA,17.33212341197822,41.8848167539267,47.5,7.259528130671507,82.66787658802178,0,0,1138.75,70261,NA,NA,NA,NA,NA,NA,0,0,76276,72416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71314,1102,69246,1015,NA,NA,NA,191,80,80,111,38,42,911,0,0,0,0,80
Massachusetts,2007,2.726267328515213,986.8187546616599,18.479462976775288,1.0287801239680048,15.907512666855277,15.045909313032071,1.9546822355392093,1.1959568941128056,98.7780092474976,NA,97.4759920735735,98.23292544665546,1.7670745533445404,NA,NA,NA,NA,NA,NA,NA,86.0821155184412,17.13823767178658,87.73584905660378,81.41962421711901,5.567153792623522,71.69811320754717,43.86792452830189,37.735849056603776,76737,NA,NA,NA,NA,NA,NA,152,93,78724,77762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76325,1437,75381,1356,NA,NA,NA,1237,1170,212,1025,186,984,80,152,0,93,0,50
Michigan,2007,1.104699093157461,970.3050288540808,15.968672712283594,10.032976092333058,5.028854080791427,3.02555647155812,0.5523495465787305,0.20610057708161583,98.31494824889162,NA,95.39548869742825,98.64228788934392,1.3577121106560859,NA,NA,NA,NA,NA,NA,NA,31.491997934950955,21.9672131147541,43.28358208955223,18.946824987093443,62.8291171915333,50,18.65671641791045,908.2089552238806,117698,NA,NA,NA,NA,NA,NA,67,25,123379,121300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119363,1937,116100,1598,NA,NA,NA,610,367,134,476,58,309,1217,67,0,25,0,67
Micronesia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2007,1.3299091993029442,0,16.203491393805983,13.176801491944113,2.629245773334556,0.9936103213182916,0.3821578158916506,0.32101256534898653,88.874699417175,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.22641509433962,50.58139534883721,34.48275862068966,6.132075471698113,81.32075471698114,28.735632183908045,24.137931034482758,990.8045977011493,0,NA,NA,NA,NA,NA,NA,25,21,73607,65418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64358,1060,0,0,NA,NA,NA,172,65,87,85,30,35,862,25,0,21,0,58
Mississippi,2007,1.905615962336061,0,12.689160408026007,1.0312745207936331,9.909203004147518,7.308597690841834,1.905615962336061,1.0985315547584351,98.01357973148168,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.09187279151944,19.230769230769234,48.23529411764706,57.59717314487632,8.12720848056537,100,57.647058823529406,54.11764705882353,0,NA,NA,NA,NA,NA,NA,85,49,45509,44605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44039,566,0,0,NA,NA,NA,442,326,85,357,41,285,46,85,0,49,0,0
Missouri,2007,1.6442081839535172,976.4247743849672,18.420076647298803,10.45864754605019,6.057609098776116,4.438125849919643,0.8282853257510199,0.5439485721349981,97.6661072407423,NA,95.36360672759983,98.38193028879633,1.6180697112036766,NA,NA,NA,NA,NA,NA,NA,32.88590604026846,27.142857142857142,66.16541353383458,24.093959731543624,56.77852348993289,50.37593984962406,33.08270676691729,636.0902255639098,78983,NA,NA,NA,NA,NA,NA,67,44,82823,80890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79400,1490,77705,1278,NA,NA,NA,490,359,133,357,88,271,846,66,1,43,1,63
Montana,2007,0.9365687526607067,0,26.905065985525756,25.71306939123031,1.191996594295445,0.9365687526607067,0.8514261387824607,0.7662835249042146,94.71010402386905,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.430379746835443,78.57142857142857,100,3.481012658227848,95.56962025316456,90.9090909090909,81.81818181818183,2745.4545454545455,0,NA,NA,NA,NA,NA,NA,10,9,12401,11745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11429,316,0,0,NA,NA,NA,14,11,11,3,11,0,302,4,6,3,6,0
Nebraska,2007,1.859219871341985,977.8380991336036,8.366489421038933,4.239021306659725,3.3094113709887334,1.487375897073588,1.487375897073588,1.2642695125125496,99.17029279445387,NA,96.97249059665167,99.25466783283264,0.7453321671673575,NA,NA,NA,NA,NA,NA,NA,39.55555555555556,56.17977528089888,56.00000000000001,17.77777777777778,50.66666666666667,80,68,227.99999999999997,26297,NA,NA,NA,NA,NA,NA,40,34,27118,26893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26668,225,26101,196,NA,NA,NA,89,40,50,39,28,12,114,40,0,34,0,8
