State,Year,HLp,EIr,LTF,PerD,PerDHL,PerEI,PerEI6,PerHL3,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr,Tscr,Birth,HL,Tdiag,TotPas,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,NHL
Illinois,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.22731733884007,174907,176269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2007,1.5048737388132019,1.1856580972467652,364,72.69076305220884,10.418310970797158,78.78787878787878,0,39.39393939393939,20.883534136546185,NA,NA,NA,NA,NA,14.444507780881263,4.149803340363678,19.87117368751069,1.2768625662657471,NA,NA,NA,104,0,NA,NA,NA,98.11192018164938,87715,89403,132,1267,85972,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,94,0,52,1743,NA,1135
Iowa,2007,1.5013906323069728,0,676,16.566005176876615,31.770833333333332,0,0,22.950819672131146,58.326143226919754,NA,NA,NA,NA,NA,4.725688547589161,16.638361761303504,28.526422013832484,7.1623717049398214,NA,NA,NA,0,0,NA,NA,NA,98.61407766990291,40629,41200,61,192,39470,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,14,1159,NA,131
Kansas,2007,1.3332698442931288,0.04761678015332604,758,16.64899257688229,35.6687898089172,3.571428571428571,1.7857142857142856,67.85714285714286,80.38176033934252,NA,NA,NA,NA,NA,3.7379172420360933,18.04675967811057,22.451311842293222,0.6666349221465644,NA,NA,NA,2,1,NA,NA,NA,97.79278230500582,42002,42950,56,157,41059,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,38,943,NA,101
Kentucky,2007,0.9024800846942849,0.1909092486853295,1243,41.20151371807001,5.970149253731343,21.153846153846153,3.8461538461538463,21.153846153846153,58.798486281929996,NA,NA,NA,NA,NA,15.116541418629271,21.572745101442234,36.6892865200715,0,NA,NA,NA,11,2,NA,NA,NA,99.02894266465007,57619,58184,52,871,55505,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,2,11,2114,NA,819
Louisiana,2007,0.7914147329766691,0.5539903130836683,1068,58.305757776307075,2.837684449489217,70,54,0,35.34083388484447,NA,NA,NA,NA,NA,27.88945519009782,16.904618696381654,47.83310646110988,3.039032574630409,NA,NA,NA,35,27,NA,NA,NA,97.47735793745082,63178,64813,50,1762,60156,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,27,0,0,0,3022,NA,1712
Maine,2007,1.3967507167536573,0.44107917371168126,199,35.714285714285715,15.2,31.57894736842105,15.789473684210526,36.84210526315789,56.85714285714286,NA,NA,NA,NA,NA,9.189149452326692,14.629125928104095,25.72961846651474,1.911343086083952,NA,NA,NA,6,3,NA,NA,NA,97.3381037567084,13603,13975,19,125,13253,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,3,7,350,NA,106
Maryland,2007,1.1047282368537341,0,911,17.33212341197822,41.8848167539267,0,0,47.5,82.66787658802178,NA,NA,NA,NA,NA,2.63753866548829,12.580092797171895,15.217631462660185,0,NA,NA,NA,0,0,NA,NA,NA,94.9394304892758,72416,76276,80,191,71314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,38,1102,NA,111
Massachusetts,2007,2.726267328515213,1.9546822355392093,80,86.0821155184412,17.13823767178658,71.69811320754717,43.86792452830189,87.73584905660378,5.567153792623522,NA,NA,NA,NA,NA,15.907512666855277,1.0287801239680048,18.479462976775288,1.5431701859520075,NA,NA,NA,152,93,NA,NA,NA,98.7780092474976,77762,78724,212,1237,76325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,152,93,186,1437,NA,1025
Michigan,2007,1.104699093157461,0.5523495465787305,1217,31.491997934950955,21.9672131147541,50,18.65671641791045,43.28358208955223,62.8291171915333,NA,NA,NA,NA,NA,5.028854080791427,10.032976092333058,15.968672712283594,0.9068425391591096,NA,NA,NA,67,25,NA,NA,NA,98.31494824889162,121300,123379,134,610,119363,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,67,25,58,1937,NA,476
